note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,0.75,0.0,9.0,C#5,73,,0,0.7328469157218933,True,0.5439478754997253,True,0.5040428042411804,True
1,1,0.75,0.25,9.0,3.0,D5,74,,0,0.8979454040527344,True,0.47180861234664917,False,0.37894389033317566,False
2,2,0.0,2.0,12.0,24.0,E5,76,,0,0.48038479685783386,False,0.2846505045890808,False,0.3822023570537567,False
3,2,0.0,2.0,12.0,24.0,A4,69,,0,0.9664236903190613,True,0.8442181944847107,True,0.6811078786849976,True
4,2,0.0,2.0,12.0,24.0,C#4,61,,0,0.639180064201355,True,0.12712335586547852,False,0.3680729866027832,False
5,2,0.0,0.5,12.0,6.0,A2,45,,0,0.91704261302948,True,0.47783732414245605,False,0.4373563230037689,False
6,2,0.0,2.0,12.0,24.0,A2,45,,0,0.9845446348190308,True,0.5296747088432312,True,0.48344331979751587,False
7,2,0.5,0.5,18.0,6.0,C#3,49,,0,0.4394938349723816,False,0.3131667673587799,False,0.4017106890678406,False
8,2,1.0,0.5,24.0,6.0,E3,52,,0,0.38626420497894287,False,0.38440921902656555,False,0.4203125834465027,False
9,2,1.5,0.5,30.0,6.0,A3,57,,0,0.9339799284934998,True,0.4875982403755188,False,0.4330247938632965,False
10,2,2.0,0.75,36.0,9.0,D5,74,,0,0.2416175901889801,False,0.23750224709510803,False,0.35458990931510925,False
11,2,2.0,2.0,36.0,24.0,G#4,68,,0,0.5484861731529236,True,0.5086268782615662,True,0.3467411696910858,False
12,2,2.0,2.0,36.0,24.0,E4,64,,0,0.18548895418643951,False,0.2363007813692093,False,0.37028083205223083,False
13,2,2.0,2.0,36.0,24.0,D4,62,,0,0.25735533237457275,False,0.26837384700775146,False,0.36482924222946167,False
14,2,2.0,0.5,36.0,6.0,B2,47,,0,0.3902446925640106,False,0.40129780769348145,False,0.4211771488189697,False
15,2,2.0,2.0,36.0,24.0,B2,47,,0,0.8326881527900696,True,0.6236628890037537,True,0.5951540470123291,True
16,2,2.5,0.5,42.0,6.0,D3,50,,0,0.23932351171970367,False,0.2382577657699585,False,0.36151766777038574,False
17,2,2.75,0.25,45.0,3.0,C#5,73,,0,0.7221156358718872,True,0.344015508890152,False,0.342888206243515,False
18,2,3.0,0.5,48.0,6.0,B4,71,,0,0.4993950426578522,False,0.5831590890884399,True,0.5270399451255798,True
19,2,3.0,0.5,48.0,6.0,E3,52,,0,0.9212641716003418,True,0.7067124843597412,True,0.6320631504058838,True
20,2,3.5,0.5,54.0,6.0,C#5,73,,0,0.9118796586990356,True,0.5539172887802124,True,0.3753102123737335,False
21,2,3.5,0.5,54.0,6.0,G#3,56,,0,0.986630380153656,True,0.9664658904075623,True,0.8120004534721375,True
22,3,0.0,2.5,60.0,30.0,E4,64,,0,0.060032255947589874,False,0.20362134277820587,False,0.3630015254020691,False
23,3,0.0,2.0,60.0,24.0,C#4,61,,0,0.16289301216602325,False,0.2075771540403366,False,0.36883893609046936,False
24,3,0.0,0.5,60.0,6.0,C#3,49,,0,0.21090766787528992,False,0.23256847262382507,False,0.37272727489471436,False
25,3,0.5,0.5,66.0,6.0,A3,57,,0,0.38073107600212097,False,0.30174559354782104,False,0.3918769061565399,False
26,3,1.0,0.5,72.0,6.0,E3,52,,0,0.6759340167045593,True,0.5976702570915222,True,0.36788833141326904,False
27,3,1.5,0.5,78.0,6.0,C#3,49,,0,0.29039061069488525,False,0.24453593790531158,False,0.38170990347862244,False
28,3,2.0,0.5,84.0,6.0,A2,45,,0,0.9101873636245728,True,0.6969047784805298,True,0.5431718230247498,True
29,3,2.5,0.5,90.0,6.0,F#4,66,,0,0.7435985207557678,True,0.5894720554351807,True,0.4784601330757141,False
30,3,2.5,0.5,90.0,6.0,E2,40,,0,0.2913627624511719,False,0.2976319491863251,False,0.3915711045265198,False
31,3,3.0,0.5,96.0,6.0,G#4,68,,0,0.6682500839233398,True,0.6141750812530518,True,0.5680135488510132,True
32,3,3.0,0.5,96.0,6.0,C#2,37,,0,0.6918083429336548,True,0.8030834197998047,True,0.7003910541534424,True
33,3,3.5,0.5,102.0,6.0,A4,69,,0,0.8399735689163208,True,0.41370582580566406,False,0.3871898055076599,False
34,3,3.5,0.5,102.0,6.0,A1,33,,0,0.8920013308525085,True,0.6005542874336243,True,0.6203474998474121,True
35,4,0.0,1.5,108.0,18.0,B4,71,,0,0.13598904013633728,False,0.2626785635948181,False,0.37672045826911926,False
36,4,0.0,2.0,108.0,24.0,E4,64,,0,0.42198488116264343,False,0.37084126472473145,False,0.41955995559692383,False
37,4,0.0,2.0,108.0,24.0,D4,62,,0,0.5893166065216064,True,0.682182252407074,True,0.6896184086799622,True
38,4,0.0,0.5,108.0,6.0,G#1,32,,0,0.16605310142040253,False,0.25324633717536926,False,0.36800649762153625,False
39,4,0.5,0.5,114.0,6.0,B2,47,,0,0.7792567014694214,True,0.7106561064720154,True,0.5787043571472168,True
40,4,1.0,0.5,120.0,6.0,E3,52,,0,0.6398336291313171,True,0.7067226767539978,True,0.4308975338935852,False
41,4,1.5,0.5,126.0,6.0,C#5,73,,0,0.9872636198997498,True,0.3882747292518616,False,0.4046352803707123,False
42,4,1.5,0.5,126.0,6.0,G#3,56,,0,0.7897647619247437,True,0.8618742227554321,True,0.6148822903633118,True
43,4,2.0,0.75,132.0,9.0,D5,74,,0,0.851837694644928,True,0.33616799116134644,False,0.3754670023918152,False
44,4,2.0,2.0,132.0,24.0,E4,64,,0,0.14439508318901062,False,0.22864137589931488,False,0.3690652549266815,False
45,4,2.0,2.0,132.0,24.0,D4,62,,0,0.5006307363510132,True,0.6564241051673889,True,0.63991779088974,True
46,4,2.0,0.5,132.0,6.0,E2,40,,0,0.10467430204153061,False,0.22000323235988617,False,0.364391952753067,False
47,4,2.5,0.5,138.0,6.0,B2,47,,0,0.7521464228630066,True,0.6538693904876709,True,0.6101713180541992,True
48,4,2.75,0.25,141.0,3.0,F#5,78,,0,0.030125828459858894,False,0.14352229237556458,False,0.3402632176876068,False
49,4,3.0,0.5,144.0,6.0,B4,71,,0,0.8525131940841675,True,0.9040544033050537,True,0.6186068058013916,True
50,4,3.0,0.5,144.0,6.0,E3,52,,0,0.8328684568405151,True,0.7228720188140869,True,0.430349737405777,False
51,4,3.5,0.5,150.0,6.0,E5,76,,0,0.8366082310676575,True,0.4550703167915344,False,0.4581473171710968,False
52,4,3.5,0.5,150.0,6.0,G#3,56,,0,0.7691686749458313,True,0.9082843065261841,True,0.6728705763816833,True
53,5,0.0,2.0,156.0,24.0,C#5,73,,0,0.9857072234153748,True,0.2769154906272888,False,0.3702573776245117,False
54,5,0.0,2.0,156.0,24.0,E4,64,,0,0.08467983454465866,False,0.20896130800247192,False,0.3642268776893616,False
55,5,0.0,2.0,156.0,24.0,C#4,61,,0,0.3835037052631378,False,0.3425033986568451,False,0.4094056487083435,False
56,5,0.0,0.5,156.0,6.0,A2,45,,0,0.7845199108123779,True,0.385352224111557,False,0.4055659770965576,False
57,5,0.5,0.5,162.0,6.0,C#3,49,,0,0.5671480298042297,True,0.2839701175689697,False,0.3638019561767578,False
58,5,1.0,0.5,168.0,6.0,E3,52,,0,0.36280179023742676,False,0.38999414443969727,False,0.42023253440856934,False
59,5,1.5,0.5,174.0,6.0,A3,57,,0,0.7542033195495605,True,0.7206187844276428,True,0.5435507893562317,True
60,5,2.0,0.5,180.0,6.0,C#4,61,,0,0.06860993057489395,False,0.179518461227417,False,0.36142393946647644,False
61,5,2.5,0.5,186.0,6.0,A3,57,,0,0.7806165218353271,True,0.861234188079834,True,0.6444518566131592,True
62,5,3.0,0.75,192.0,9.0,C#5,73,,0,0.9911777377128601,True,0.39565613865852356,False,0.3935776650905609,False
63,5,3.0,0.5,192.0,6.0,E3,52,,0,0.4600158631801605,False,0.5040808916091919,True,0.4827099144458771,False
64,5,3.5,0.5,198.0,6.0,C#3,49,,0,0.27306222915649414,False,0.24199146032333374,False,0.3825055658817291,False
65,5,3.75,0.25,201.0,3.0,D5,74,,0,0.7572895288467407,True,0.15378643572330475,False,0.3392431437969208,False
66,6,0.0,2.0,204.0,24.0,E5,76,,0,0.8191880583763123,True,0.21711459755897522,False,0.36729177832603455,False
67,6,0.0,2.0,204.0,24.0,G4,67,,0,0.5670418739318848,True,0.5789165496826172,True,0.2417336106300354,False
68,6,0.0,2.0,204.0,24.0,E4,64,,0,0.40712758898735046,False,0.32920190691947937,False,0.39713671803474426,False
69,6,0.0,0.5,204.0,6.0,A#2,46,,0,0.7244980335235596,True,0.4200831949710846,False,0.38144856691360474,False
70,6,0.0,2.0,204.0,24.0,A#2,46,,0,0.9413359761238098,True,0.5905401110649109,True,0.3724289834499359,False
71,6,0.5,0.5,210.0,6.0,E3,52,,0,0.2190956026315689,False,0.22663284838199615,False,0.3711272180080414,False
72,6,1.0,0.5,216.0,6.0,G3,55,,0,0.8831648826599121,True,0.8994276523590088,True,0.4584667384624481,False
73,6,1.5,0.5,222.0,6.0,C#4,61,,0,0.5315872430801392,True,0.35827717185020447,False,0.3527495861053467,False
74,6,2.0,0.75,228.0,9.0,D5,74,,0,0.7321454882621765,True,0.1442713588476181,False,0.3532620370388031,False
75,6,2.0,2.0,228.0,24.0,F#4,66,,0,0.7383222579956055,True,0.5680984258651733,True,0.18699008226394653,False
76,6,2.0,2.0,228.0,24.0,D4,62,,0,0.5267769694328308,True,0.5417075157165527,True,0.6169632077217102,True
77,6,2.0,0.5,228.0,6.0,B2,47,,0,0.9197347164154053,True,0.586399495601654,True,0.5766803026199341,True
78,6,2.0,2.0,228.0,24.0,B2,47,,0,0.9772123694419861,True,0.6779064536094666,True,0.6125267148017883,True
79,6,2.5,0.5,234.0,6.0,D3,50,,0,0.189326673746109,False,0.20508436858654022,False,0.3549209535121918,False
80,6,2.75,0.25,237.0,3.0,C#5,73,,0,0.9518591165542603,True,0.4367024302482605,False,0.3620491623878479,False
81,6,3.0,0.5,240.0,6.0,B4,71,,0,0.9441691637039185,True,0.9709069728851318,True,0.5988139510154724,True
82,6,3.0,0.5,240.0,6.0,F#3,54,,0,0.9495421648025513,True,0.9292073249816895,True,0.6828455924987793,True
83,6,3.5,0.5,246.0,6.0,C#5,73,,0,0.9042425751686096,True,0.6095629334449768,True,0.3977297246456146,False
84,6,3.5,0.5,246.0,6.0,B3,59,,0,0.5193684101104736,True,0.9091007709503174,True,0.594603419303894,True
85,7,0.0,2.5,252.0,30.0,F#4,66,,0,0.9752437472343445,True,0.49663347005844116,False,0.45954862236976624,False
86,7,0.0,2.0,252.0,24.0,E4,64,,0,0.36570462584495544,False,0.31739822030067444,False,0.3939947187900543,False
87,7,0.0,0.5,252.0,6.0,C#3,49,,0,0.6791463494300842,True,0.248159259557724,False,0.3478134870529175,False
88,7,0.5,0.5,258.0,6.0,F#3,54,,0,0.3101838529109955,False,0.26506704092025757,False,0.3727617561817169,False
89,7,1.0,0.5,264.0,6.0,A#3,58,,0,0.7198594212532043,True,0.9388105869293213,True,0.6179395318031311,True
