note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,0.25,0.0,1.0,B5,83,,0,0.20976582169532776,False,0.2762267291545868,False,0.38804975152015686,False
1,1,0.25,0.25,1.0,1.0,A5,81,,0,0.8869006633758545,True,0.5469570159912109,True,0.33840852975845337,False
2,1,0.5,0.25,2.0,1.0,G#5,80,,0,0.8320986032485962,True,0.4028903841972351,False,0.4023856222629547,False
3,1,0.75,0.25,3.0,1.0,F#5,78,,0,0.4656073749065399,False,0.24042238295078278,False,0.360582560300827,False
4,1,1.0,0.25,4.0,1.0,E5,76,,0,0.9919577836990356,True,0.47895392775535583,False,0.4354495406150818,False
5,1,1.25,0.25,5.0,1.0,D5,74,,0,0.1464110165834427,False,0.20234768092632294,False,0.3677190840244293,False
6,2,0.0,0.5,6.0,2.0,C#5,73,,0,0.9949422478675842,True,0.8496708869934082,True,0.5402575135231018,True
7,2,0.0,0.5,6.0,2.0,A4,69,,0,0.8379864692687988,True,0.7620769739151001,True,0.6489487886428833,True
8,2,0.0,4.5,6.0,18.0,A3,57,,0,0.9219534993171692,True,0.4634540379047394,False,0.46857506036758423,False
9,2,0.5,0.5,8.0,2.0,C#5,73,,0,0.9774072170257568,True,0.7169634103775024,True,0.3931370675563812,False
10,2,0.5,0.5,8.0,2.0,E4,64,,0,0.9803475141525269,True,0.7304426431655884,True,0.457520455121994,False
11,2,1.0,0.5,10.0,2.0,C#5,73,,0,0.9194170832633972,True,0.4874010682106018,False,0.3451095223426819,False
12,2,1.0,0.5,10.0,2.0,A4,69,,0,0.3486919105052948,False,0.23617379367351532,False,0.37748298048973083,False
13,2,1.5,0.5,12.0,2.0,D5,74,,0,0.38530394434928894,False,0.3999355137348175,False,0.4422905445098877,False
14,2,1.5,0.5,12.0,2.0,G#4,68,,0,0.9727810621261597,True,0.6083925366401672,True,0.48127347230911255,False
15,2,2.0,0.75,14.0,3.0,F#5,78,,0,0.17645634710788727,False,0.19591553509235382,False,0.356808066368103,False
16,2,2.0,0.5,14.0,2.0,E4,64,,0,0.7413530349731445,True,0.6910545229911804,True,0.4066779911518097,False
17,2,2.5,0.5,16.0,2.0,G#4,68,,0,0.8741805553436279,True,0.44250816106796265,False,0.41737687587738037,False
18,2,2.75,0.25,17.0,1.0,E5,76,,0,0.9945912957191467,True,0.5577236413955688,True,0.41923293471336365,False
19,3,0.0,1.0,18.0,4.0,C#5,73,,0,0.9604593515396118,True,0.7640742659568787,True,0.5505251884460449,True
20,3,0.0,0.5,18.0,2.0,A4,69,,0,0.6776100397109985,True,0.658837616443634,True,0.5160759091377258,True
21,3,0.5,0.5,20.0,2.0,E4,64,,0,0.9565787315368652,True,0.6588221192359924,True,0.5022788643836975,True
22,3,1.0,0.5,22.0,2.0,A4,69,,0,0.7191681265830994,True,0.47217345237731934,False,0.44718313217163086,False
23,3,1.5,0.25,24.0,1.0,B5,83,,0,0.23948226869106293,False,0.29982614517211914,False,0.39612263441085815,False
24,3,1.75,0.25,25.0,1.0,A5,81,,0,0.833682656288147,True,0.3747597932815552,False,0.3199648857116699,False
25,3,2.0,0.25,26.0,1.0,G#5,80,,0,0.9373630285263062,True,0.5160731673240662,True,0.4622776210308075,False
26,3,2.25,0.25,27.0,1.0,F#5,78,,0,0.5415469408035278,True,0.22082535922527313,False,0.3341127634048462,False
27,3,2.5,0.25,28.0,1.0,E5,76,,0,0.9961251616477966,True,0.6004365086555481,True,0.4735771119594574,False
28,3,2.75,0.25,29.0,1.0,D5,74,,0,0.16454046964645386,False,0.20771470665931702,False,0.368507444858551,False
29,4,0.0,0.5,30.0,2.0,C#5,73,,0,0.977681040763855,True,0.786289393901825,True,0.5388731956481934,True
30,4,0.0,0.5,30.0,2.0,A4,69,,0,0.923608124256134,True,0.8090519905090332,True,0.6209079027175903,True
31,4,0.0,4.5,30.0,18.0,A3,57,,0,0.9425753951072693,True,0.4317135214805603,False,0.4684976637363434,False
32,4,0.5,0.5,32.0,2.0,C#5,73,,0,0.9333604574203491,True,0.6806645393371582,True,0.4193083345890045,False
33,4,0.5,0.5,32.0,2.0,E4,64,,0,0.9184845685958862,True,0.6525766253471375,True,0.4462890625,False
