note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
51,8,2.5,0.5,564.0,12.0,A2,45,,0,0.6569163799285889,True,0.4360296130180359,False,0.4040032923221588,False
52,9,0.0,1.0,576.0,24.0,A4,69,,0,0.7145518064498901,True,0.4121242165565491,False,0.4494319558143616,False
53,9,0.0,4.0,576.0,96.0,F4,65,,0,0.02019777148962021,False,0.33233642578125,False,0.42224448919296265,False
54,9,0.0,1.0,576.0,24.0,F2,41,,0,0.8775135278701782,True,0.8286780714988708,True,0.5220207571983337,True
55,9,1.0,1.0,600.0,24.0,B-4,70,,0,0.09170366078615189,False,0.2697634994983673,False,0.39337947964668274,False
56,9,1.0,1.0,600.0,24.0,D3,50,,0,0.5694233179092407,True,0.4245797395706177,False,0.3981570303440094,False
57,9,2.0,1.0,624.0,24.0,D5,74,,0,0.729819118976593,True,0.31151482462882996,False,0.3551371991634369,False
58,9,2.0,1.0,624.0,24.0,B-2,46,,0,0.7572375535964966,True,0.4661634862422943,False,0.41591876745224,False
59,10,0.0,0.5,648.0,12.0,D5,74,,0,0.9591376185417175,True,0.4968779683113098,False,0.43085649609565735,False
60,10,0.0,1.0,648.0,24.0,A2,45,,0,0.5283366441726685,True,0.4813411831855774,False,0.4692845642566681,False
61,10,0.5,0.5,660.0,12.0,C5,72,,0,0.8201019763946533,True,0.8298285603523254,True,0.6424979567527771,True
62,10,1.0,0.5,672.0,12.0,B-4,70,,0,0.14804749190807343,False,0.2927350401878357,False,0.3985655605792999,False
63,10,1.5,0.5,684.0,12.0,A4,69,,0,0.26659512519836426,False,0.16846272349357605,False,0.36197230219841003,False
64,10,2.0,0.5,696.0,12.0,G4,67,,0,0.951443612575531,True,0.4737758934497833,False,0.34511804580688477,False
65,10,2.0,1.0,696.0,24.0,D3,50,,0,0.37570878863334656,False,0.34118229150772095,False,0.3888392746448517,False
66,10,2.5,0.5,708.0,12.0,F4,65,,0,0.0023933129850775003,False,0.16781771183013916,False,0.3661686182022095,False
67,11,0.0,1.0,720.0,24.0,G4,67,,0,0.9368525743484497,True,0.5780460238456726,True,0.4055253267288208,False
68,11,0.0,1.0,720.0,24.0,B-2,46,,0,0.9112250208854675,True,0.42210328578948975,False,0.4452379047870636,False
69,11,1.0,1.0,744.0,24.0,B-4,70,,0,0.1569899469614029,False,0.27749696373939514,False,0.3949652910232544,False
70,11,2.0,1.0,768.0,24.0,E4,64,,0,0.039653901010751724,False,0.18587122857570648,False,0.355306476354599,False
71,11,2.0,1.0,768.0,24.0,B-3,58,,0,0.8563228249549866,True,0.600153923034668,True,0.24901925027370453,False
72,11,2.0,1.0,768.0,24.0,C3,48,,0,0.8294941782951355,True,0.7319211959838867,True,0.48297497630119324,False
73,12,0.0,1.0,792.0,24.0,F4,65,,0,0.013380279764533043,False,0.2865528464317322,False,0.3978615999221802,False
74,12,0.0,1.0,792.0,24.0,A3,57,,0,0.9280402660369873,True,0.3009161949157715,False,0.4022518992424011,False
75,12,0.0,1.0,792.0,24.0,F2,41,,0,0.926054060459137,True,0.4829411804676056,False,0.5120472311973572,True
76,12,2.0,0.75,840.0,18.0,C6,84,,0,0.11914903670549393,False,0.21104970574378967,False,0.3663269579410553,False
77,12,2.0,0.75,840.0,18.0,C5,72,,0,0.06232593208551407,False,0.19527390599250793,False,0.36528098583221436,False
78,12,2.0,0.75,840.0,18.0,A4,69,,0,0.11660973727703094,False,0.18895068764686584,False,0.36248961091041565,False
79,12,2.75,0.25,858.0,6.0,B-5,82,,0,0.21996845304965973,False,0.21316806972026825,False,0.365718275308609,False
80,12,2.75,0.25,858.0,6.0,B-4,70,,0,0.3307671546936035,False,0.21630345284938812,False,0.36853134632110596,False
81,12,2.75,0.25,858.0,6.0,G4,67,,0,0.7722669839859009,True,0.23729436099529266,False,0.3247886896133423,False
82,13,0.0,1.0,864.0,24.0,A5,81,,0,0.3105302155017853,False,0.36600568890571594,False,0.42219528555870056,False
83,13,0.0,1.0,864.0,24.0,A4,69,,0,0.8749797940254211,True,0.27196168899536133,False,0.396748811006546,False
84,13,0.0,1.0,864.0,24.0,F4,65,,0,0.4484172463417053,False,0.6747341156005859,True,0.6149626970291138,True
85,13,1.0,1.0,888.0,24.0,A5,81,,0,0.12958954274654388,False,0.2543434500694275,False,0.38225141167640686,False
86,13,1.0,1.0,888.0,24.0,A4,69,,0,0.5300371050834656,True,0.1632469743490219,False,0.3649942874908447,False
87,13,1.0,1.0,888.0,24.0,F4,65,,0,0.0637836828827858,False,0.2903556525707245,False,0.3989742696285248,False
88,13,2.0,0.75,912.0,18.0,A5,81,,0,0.058343611657619476,False,0.17655865848064423,False,0.35903191566467285,False
89,13,2.0,0.75,912.0,18.0,A4,69,,0,0.2082633525133133,False,0.19922128319740295,False,0.3648568093776703,False
90,13,2.0,0.75,912.0,18.0,F4,65,,0,0.013948225416243076,False,0.20144550502300262,False,0.3682611584663391,False
91,13,2.75,0.25,930.0,6.0,G5,79,,0,0.9580687880516052,True,0.6341928243637085,True,0.4127248227596283,False
92,13,2.75,0.25,930.0,6.0,G4,67,,0,0.8982959985733032,True,0.4094363749027252,False,0.3347548246383667,False
93,13,2.75,0.25,930.0,6.0,C4,60,,0,0.7383597493171692,True,0.6311829686164856,True,0.5071264505386353,True
94,14,0.0,1.0,936.0,24.0,F5,77,,0,0.9535617828369141,True,0.7919270992279053,True,0.6074869632720947,True
95,14,0.0,1.0,936.0,24.0,F4,65,,0,0.43228214979171753,False,0.6543689966201782,True,0.6043177843093872,True
96,14,0.0,1.0,936.0,24.0,A3,57,,0,0.8871261477470398,True,0.2907137870788574,False,0.3971569538116455,False
97,14,1.0,1.0,960.0,24.0,F5,77,,0,0.4660070538520813,False,0.4810223877429962,False,0.47216272354125977,False
98,14,1.0,1.0,960.0,24.0,F4,65,,0,0.13499808311462402,False,0.34761685132980347,False,0.4191841781139374,False
99,14,1.0,1.0,960.0,24.0,A3,57,,0,0.5033115744590759,True,0.1275702565908432,False,0.36315515637397766,False
100,14,2.0,1.0,984.0,24.0,F5,77,,0,0.5054073333740234,True,0.39177918434143066,False,0.3799314498901367,False
101,14,2.0,1.0,984.0,24.0,F4,65,,0,0.054024383425712585,False,0.22850175201892853,False,0.3752339780330658,False
102,14,2.0,1.0,984.0,24.0,A3,57,,0,0.4467758536338806,False,0.31175586581230164,False,0.3927370011806488,False
103,15,0.0,1.0,1008.0,24.0,G5,79,,0,0.9501684904098511,True,0.6095241904258728,True,0.6056727170944214,True
104,15,0.0,1.0,1008.0,24.0,E5,76,,0,0.8811495304107666,True,0.669460654258728,True,0.6127709150314331,True
105,15,0.0,1.0,1008.0,24.0,G4,67,,0,0.9705188870429993,True,0.867542028427124,True,0.6520830988883972,True
106,15,0.0,1.0,1008.0,24.0,C4,60,,0,0.6618518233299255,True,0.5687971115112305,True,0.5901736617088318,True
107,15,1.0,1.0,1032.0,24.0,G5,79,,0,0.9229542016983032,True,0.5075383186340332,True,0.48170316219329834,False
108,15,1.0,1.0,1032.0,24.0,E5,76,,0,0.6376767754554749,True,0.42026233673095703,False,0.40443697571754456,False
109,15,1.0,1.0,1032.0,24.0,G4,67,,0,0.9701458811759949,True,0.7412629127502441,True,0.49280375242233276,False
110,15,1.0,1.0,1032.0,24.0,C4,60,,0,0.48018085956573486,False,0.5425943732261658,True,0.5104324221611023,True
111,15,2.0,1.0,1056.0,24.0,G5,79,,0,0.8826615810394287,True,0.6060028076171875,True,0.4890769124031067,False
112,15,2.0,1.0,1056.0,24.0,E5,76,,0,0.6678844690322876,True,0.26207441091537476,False,0.35006049275398254,False
113,15,2.0,1.0,1056.0,24.0,G4,67,,0,0.853405237197876,True,0.42322584986686707,False,0.3347313404083252,False
114,15,2.0,1.0,1056.0,24.0,C4,60,,0,0.25553998351097107,False,0.28766152262687683,False,0.390644907951355,False
115,16,0.0,1.0,1080.0,24.0,G5,79,,0,0.9506099224090576,True,0.4963859021663666,False,0.4509791433811188,False
116,16,0.0,1.0,1080.0,24.0,E5,76,,0,0.8290373682975769,True,0.6354652643203735,True,0.5211719870567322,True
117,16,0.0,1.0,1080.0,24.0,G4,67,,0,0.9798790216445923,True,0.7947489023208618,True,0.5442923903465271,True
118,16,0.0,1.0,1080.0,24.0,C4,60,,0,0.7007772326469421,True,0.42102131247520447,False,0.49661606550216675,False
119,16,1.0,1.0,1104.0,24.0,A5,81,,0,0.2034485936164856,False,0.2652549147605896,False,0.38518521189689636,False
120,16,1.0,1.0,1104.0,24.0,F5,77,,0,0.851243257522583,True,0.544869601726532,True,0.4642559885978699,False
121,16,1.0,1.0,1104.0,24.0,A4,69,,0,0.19095951318740845,False,0.2691611051559448,False,0.38860973715782166,False
122,16,1.0,1.0,1104.0,24.0,F4,65,,0,0.04990964010357857,False,0.27832677960395813,False,0.39549514651298523,False
123,16,2.0,0.25,1128.0,6.0,C6,84,,0,0.12948884069919586,False,0.20329344272613525,False,0.36332830786705017,False
124,16,2.0,0.75,1128.0,18.0,C5,72,,0,0.13900938630104065,False,0.2340889573097229,False,0.3728609085083008,False
125,16,2.0,0.75,1128.0,18.0,A4,69,,0,0.1826763153076172,False,0.20098941028118134,False,0.3641592562198639,False
