measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
25,4.0,1.0,1,8.0,3.25,4.0,4.0,1.75,0.40625,0.0,0.0,66.125,13.125,47.0,83.0,67.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,27.25,5.0,17.0,37.0,27.5,0.6875,0.4296875,0.0,1.0,1.0,0.0,0.0,0.0,0.4666666666666667,0.3,0.1333333333333333,0.1,0.0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
26,4.0,1.0,1,8.0,4.25,4.0,4.0,2.5,0.53125,0.0,0.0,64.65625,10.90625,47.0,82.0,64.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,22.8125,4.8125,12.0,33.0,23.0,0.6875,0.4296875,0.0,1.0,1.0,0.0,0.0,0.0,0.5666666666666667,0.2,0.1333333333333333,0.1666666666666666,0.0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
27,4.0,1.0,1,8.0,3.5,4.0,4.0,1.5,0.4375,0.0,0.0,64.875,10.5,47.0,83.0,64.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,22.0,6.75,13.0,37.0,22.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.375,0.2666666666666666,0.5,0.2333333333333333,0.0,0.0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,2.0,1.0,1,0.375,homorhythmic,high
28,4.0,1.0,1,8.0,3.0,4.0,4.0,1.25,0.375,0.0,0.0,65.0,12.0,47.0,83.0,65.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,25.0,7.5,13.0,37.0,25.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.5333333333333333,0.2666666666666666,0.2,0.0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2.0,1.0,1,0.25,homorhythmic,high
29,4.0,1.0,1,8.0,2.5,4.0,4.0,0.75,0.3125,0.0,0.0,61.71875,9.138671875,47.0,83.0,59.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,1.5,1.0,5.0,1.0,0.25,0.375,0.0,1.0,0.0,2.0,1.5,1.0,5.0,1.0,0.25,0.375,0.0,1.0,0.0,8.4375,11.15625,1.0,37.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,0.25,0.25,0.0,0.6296296296296297,0.5185185185185185,0.2592592592592592,0.4444444444444444,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1.0,1.0,1,0.25,monophonic,high
30,4.0,1.0,1,4.0,2.25,4.0,4.0,0.75,0.5625,0.0,0.0,52.6875,7.1015625,35.0,66.0,54.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.2666666666666666,0.0666666666666666,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
31,4.0,1.0,1,2.5,2.5,2.0,2.0,0.75,1.0,0.0,0.0,52.2,11.04,35.0,73.0,50.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.25,0.375,1.0,2.0,1.0,0.25,0.375,0.0,1.0,0.0,1.25,0.375,1.0,2.0,1.0,0.25,0.375,0.0,1.0,0.0,6.0,7.5,1.0,33.0,1.0,1.0,0.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,0.0,monophonic,high
32,4.0,1.0,1,3.0,2.5,2.0,2.0,0.75,0.8333333333333334,0.0,0.0,57.833333333333336,11.500000000000002,39.0,76.0,58.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.5,0.5,1.0,2.0,1.5,0.5,0.5,0.0,1.0,0.5,1.5,0.5,1.0,2.0,1.5,0.5,0.5,0.0,1.0,0.5,12.25,11.8125,1.0,37.0,5.5,1.0,0.0,1.0,1.0,1.0,0.125,0.0,0.125,0.0,0.0,0.0,0.6,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.5,1.0,1,0.125,homorhythmic,low
33,4.0,1.0,1,3.0,2.75,2.0,2.0,1.0,0.9166666666666666,0.0,0.0,65.83333333333333,11.222222222222223,42.0,81.0,68.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.5,0.5,1.0,2.0,1.5,0.5,0.5,0.0,1.0,0.5,1.5,0.5,1.0,2.0,1.5,0.5,0.5,0.0,1.0,0.5,14.25,13.25,1.0,40.0,8.5,0.875,0.21875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.0,1,0.0,homorhythmic,low
34,4.0,1.0,1,4.0,3.25,2.0,2.0,1.5,0.8125,0.0,0.0,66.125,12.125,45.0,81.0,68.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,25.25,8.75,16.0,37.0,24.0,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.1428571428571428,0.2857142857142857,0.0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
