measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,1.0,1.0,0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,73.25,0.375,73.0,74.0,73.0,0.5,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
2,4.0,1.0,1,12.0,4.0,2.25,2.25,1.5,0.3333333333333333,0.0,0.0,61.32142857142857,8.370748299319729,45.0,76.0,62.0,0.4375,0.09375,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,5.333333333333333,0.5925925925925926,4.0,6.0,5.0,2.3333333333333335,0.8148148148148149,1.0,4.0,2.0,5.25,0.5625,4.0,6.0,5.0,2.4375,0.8125,1.0,4.0,2.5,29.4375,2.5625,25.0,32.0,30.0,0.8291666666666667,0.1708333333333333,0.5333333333333333,1.0,0.9,1.0,0.7777777777777778,0.7777777777777778,0.3636363636363636,0.4318181818181818,0.4545454545454545,0.2954545454545454,0.6818181818181818,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,0.7777777777777778,homorhythmic,high
3,4.0,1.0,1,5.0,3.0,2.0,2.0,1.25,0.6,0.0,0.0,56.45,9.015,33.0,69.0,61.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.5,0.5,2.0,3.0,2.5,0.875,0.21875,0.0,1.0,1.0,2.5,0.5,2.0,3.0,2.5,0.875,0.21875,0.0,1.0,1.0,21.125,8.15625,8.0,37.0,18.0,0.875,0.21875,0.0,1.0,1.0,0.5,0.125,0.375,0.1764705882352941,0.7058823529411765,0.2352941176470588,0.2352941176470588,0.4117647058823529,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2.5,1.0,1,0.375,homorhythmic,high
4,4.0,1.0,1,9.0,3.0,2.25,2.25,1.5,0.3333333333333333,0.0,0.0,61.65625,6.953125,32.0,78.0,63.0,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,4.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,26.125,6.65625,18.0,40.0,23.0,0.6041666666666666,0.1197916666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.5625,0.09375,0.34375,0.28125,0.625,0,1,0,1,1,1,1,1,0,0,0,1,0,1,4.0,1.0,1,0.5555555555555556,homorhythmic,high
5,4.0,1.0,1,6.0,2.0,2.25,2.25,1.0,0.3333333333333333,0.0,0.0,61.84090909090909,6.917355371900826,45.0,74.0,61.0,0.4583333333333333,0.0694444444444444,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,2.6666666666666665,1.1851851851851851,1.0,4.0,2.0,1.1111111111111112,0.5925925925925927,0.0,2.0,1.0,2.75,1.25,1.0,4.0,3.0,1.125,0.65625,0.0,2.0,1.0,17.8125,8.609375,1.0,29.0,22.0,0.9375,0.1171875,0.0,1.0,1.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.05,0.6,0.1,0.5,0.6,0,1,0,1,1,0,1,1,0,0,1,1,0,1,3.0,0.9696969696969696,1,0.4444444444444444,homorhythmic,high
6,4.0,1.0,1,10.75,4.0,2.25,2.25,1.75,0.3720930232558139,0.0,0.0,61.43421052631579,8.267313019390581,46.0,76.0,64.0,0.4418604651162791,0.0892374256354786,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,4.777777777777778,0.345679012345679,4.0,5.0,5.0,2.2222222222222223,0.345679012345679,2.0,3.0,2.0,4.75,0.375,4.0,5.0,5.0,2.25,0.375,2.0,3.0,2.0,28.9375,2.0625,25.0,31.0,29.5,0.8020833333333333,0.1236979166666666,0.6666666666666666,1.0,0.7,1.0,0.3333333333333333,1.0,0.1794871794871795,0.5641025641025641,0.282051282051282,0.4615384615384615,0.6666666666666666,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
7,4.0,1.0,1,6.0,3.25,2.0,2.0,1.5,0.5416666666666666,0.0,0.0,61.833333333333336,5.2222222222222205,47.0,74.0,63.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3.0,0.0,3.0,3.0,3.0,1.125,0.65625,0.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,1.125,0.65625,0.0,2.0,1.0,15.5,6.5,6.0,28.0,15.5,0.6666666666666666,0.25,0.3333333333333333,1.0,0.6666666666666666,0.5,0.25,0.375,0.5238095238095238,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.4761904761904761,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.375,homorhythmic,high
8,4.0,1.0,1,8.25,2.75,2.25,2.25,1.5,0.3333333333333333,0.0,0.0,62.77586206896552,7.338882282996432,40.0,78.0,62.0,0.4393939393939394,0.0918273645546372,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,3.6666666666666665,0.4444444444444444,3.0,4.0,4.0,2.5555555555555554,0.5925925925925927,1.0,3.0,3.0,3.625,0.46875,3.0,4.0,4.0,2.5,0.625,1.0,3.0,3.0,23.5625,8.3125,10.0,39.0,22.5,0.4375,0.1302083333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0344827586206896,0.1379310344827586,0.1379310344827586,0.2758620689655172,0.6551724137931034,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.4444444444444444,homorhythmic,high
9,4.0,1.0,1,5.75,2.25,2.25,2.25,1.25,0.391304347826087,0.0,0.0,58.25,7.6875,42.0,71.0,60.0,0.4347826086956521,0.0964083175803402,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,2.5555555555555554,0.6913580246913581,1.0,3.0,3.0,1.4444444444444444,0.7407407407407408,0.0,2.0,2.0,2.5,0.75,1.0,3.0,3.0,1.375,0.78125,0.0,2.0,2.0,16.625,8.71875,1.0,30.0,19.5,1.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.0,0.5555555555555556,0.1,0.3,0.1,0.25,0.45,0,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.5555555555555556,homorhythmic,high
10,4.0,1.0,1,9.75,2.25,2.0,2.0,1.75,0.2307692307692307,0.0,0.0,58.833333333333336,10.64102564102564,41.0,74.0,61.0,0.5,0.0641025641025641,0.25,0.75,0.5,0.5,0.0625,0.25,0.75,0.5,4.875,0.21875,4.0,5.0,5.0,2.875,0.21875,2.0,3.0,3.0,4.875,0.21875,4.0,5.0,5.0,2.875,0.21875,2.0,3.0,3.0,32.4375,0.6328125,31.0,33.0,33.0,0.95,0.08125,0.7,1.0,1.0,0.875,1.0,1.0,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.5428571428571428,0.8285714285714286,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
11,4.0,1.0,1,8.5,2.75,2.0,2.0,1.5,0.3235294117647059,0.0,0.0,64.20588235294117,14.309688581314878,36.0,80.0,68.0,0.5,0.1176470588235294,0.25,0.75,0.5,0.5,0.125,0.25,0.75,0.5,4.25,0.375,4.0,5.0,4.0,2.25,0.375,2.0,3.0,2.0,4.25,0.375,4.0,5.0,4.0,2.25,0.375,2.0,3.0,2.0,42.125,2.8125,33.0,45.0,44.0,0.8020833333333333,0.1979166666666666,0.3333333333333333,1.0,0.8333333333333333,0.5,0.125,1.0,0.3448275862068966,0.2413793103448276,0.0689655172413793,0.5172413793103449,0.7586206896551724,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,1.0,homorhythmic,high
12,4.0,1.0,1,9.5,3.0,2.0,2.0,1.75,0.3157894736842105,0.0,0.0,60.4078947368421,11.353185595567869,37.0,80.0,61.0,0.5,0.0657894736842105,0.25,0.75,0.5,0.5,0.0625,0.25,0.75,0.5,4.75,0.375,4.0,5.0,5.0,2.75,0.375,2.0,3.0,3.0,4.75,0.375,4.0,5.0,5.0,2.75,0.375,2.0,3.0,3.0,33.6875,2.578125,31.0,44.0,32.0,0.95,0.08125,0.7,1.0,1.0,1.0,0.75,1.0,0.1470588235294117,0.2352941176470588,0.4705882352941176,0.5294117647058824,0.7352941176470589,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
13,4.0,1.0,1,10.0,2.25,2.0,2.0,1.5,0.225,0.0,0.0,58.3625,11.19,37.0,74.0,61.0,0.5,0.1875,0.25,0.75,0.5,0.5,0.1875,0.25,0.75,0.5,5.0,0.0,5.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,34.3125,1.5546875,32.0,38.0,34.0,0.925,0.1031249999999999,0.7,1.0,1.0,1.0,0.375,1.0,0.2285714285714285,0.2857142857142857,0.1428571428571428,0.5428571428571428,0.7428571428571429,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
14,4.0,1.0,1,11.75,4.0,2.25,2.25,1.5,0.3404255319148936,0.0,0.0,61.13414634146341,8.794170136823318,33.0,76.0,62.0,0.4361702127659574,0.0950656405613399,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,5.222222222222222,0.691358024691358,4.0,6.0,5.0,2.3333333333333335,0.8148148148148149,1.0,4.0,2.0,5.125,0.65625,4.0,6.0,5.0,2.4375,0.8125,1.0,4.0,2.5,30.9375,4.0625,25.0,44.0,30.0,0.8291666666666667,0.1708333333333333,0.5333333333333333,1.0,0.9,1.0,0.7777777777777778,0.6666666666666666,0.3720930232558139,0.4186046511627907,0.4418604651162791,0.3023255813953488,0.6744186046511628,0,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,0.6666666666666666,homorhythmic,high
15,4.0,1.0,1,5.5,3.0,2.0,2.0,1.25,0.5454545454545454,0.0,0.0,55.77272727272727,8.99586776859504,33.0,69.0,61.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.75,0.75,2.0,4.0,2.5,1.0,0.0,1.0,1.0,1.0,2.75,0.75,2.0,4.0,2.5,1.0,0.0,1.0,1.0,1.0,22.5,7.125,16.0,37.0,18.0,0.875,0.21875,0.0,1.0,1.0,0.5,0.125,0.5,0.1578947368421052,0.6842105263157895,0.2105263157894736,0.4210526315789473,0.5263157894736842,0,1,0,1,0,1,1,1,0,0,0,1,0,1,2.5,1.0,1,0.5,homorhythmic,high
16,4.0,1.0,1,9.0,3.0,2.25,2.25,1.5,0.3333333333333333,0.0,0.0,61.65625,6.953125,32.0,78.0,63.0,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,4.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,26.125,6.65625,18.0,40.0,23.0,0.6041666666666666,0.1197916666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.5625,0.09375,0.34375,0.28125,0.625,0,1,0,1,1,1,1,1,0,0,0,1,0,1,4.0,1.0,1,0.5555555555555556,homorhythmic,high
