measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
19,4.0,1.0,1,8.0,4.25,4.0,4.0,2.25,0.53125,0.0,0.0,71.8125,6.4140625,59.0,88.0,71.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,0.75,0.375,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.75,0.375,0.0,1.0,1.0,12.375,6.0,4.0,23.0,13.5,0.625,0.46875,0.0,1.0,1.0,0.25,0.0625,0.0,0.2,0.2666666666666666,0.1,0.3333333333333333,0.2666666666666666,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2.0,1.0,1,0.0,homorhythmic,low
20,4.0,1.0,1,8.0,3.5,4.0,4.0,1.5,0.4375,0.0,0.0,61.5625,8.21484375,50.0,79.0,62.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.0,0.0,2.0,2.0,2.0,0.9375,0.1171875,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.9375,0.1171875,0.0,1.0,1.0,17.125,6.0,6.0,28.0,17.0,0.75,0.375,0.0,1.0,1.0,0.125,0.0625,0.0625,0.1,0.0333333333333333,0.0333333333333333,0.4333333333333333,0.3666666666666666,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2.0,1.0,1,0.0625,homorhythmic,low
21,4.0,1.0,1,9.75,2.75,5.0,5.0,1.75,0.282051282051282,0.0,0.0,62.067796610169495,10.26141913243321,43.0,84.0,55.0,0.1891025641025641,0.0624589086127547,0.125,0.25,0.25,0.2,0.06,0.1200000000000001,0.25,0.25,1.95,0.76,1.0,3.0,2.0,0.65,0.52,0.0,2.0,1.0,1.84,0.8400000000000001,1.0,3.0,1.5,0.5625,0.5625,0.0,2.0,0.5,13.279999999999998,12.279999999999998,1.0,35.0,9.0,0.8875,0.1906874999999999,0.0,1.0,1.0,0.1,0.05,0.2,0.4722222222222222,0.0833333333333333,0.1666666666666666,0.1944444444444444,0.4166666666666667,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1.5,1.0,1,0.2,homorhythmic,high
22,4.0,1.0,1,10.5,3.25,4.5,4.5,2.0,0.3095238095238095,0.0,0.0,67.32894736842105,12.329639889196676,47.0,84.0,72.0,0.2261904761904762,0.0385487528344671,0.125,0.25,0.25,0.2222222222222222,0.0432098765432098,0.1200000000000001,0.25,0.25,2.3333333333333335,0.4444444444444444,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.375,0.46875,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,28.2775,4.372812499999998,22.0,37.0,29.5,0.7291666666666666,0.3385416666666666,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.25,0.3,0.175,0.0,0.45,0,0,0,0,1,0,1,1,0,0,1,1,0,0,2.0,0.9824561403508772,1,0.0,homorhythmic,high
23,4.0,1.0,1,11.25,3.0,5.0,5.0,2.0,0.2666666666666666,0.0,0.0,66.4,12.824615384615385,43.0,88.0,71.0,0.1805555555555555,0.0617283950617283,0.125,0.25,0.125,0.2,0.06,0.1200000000000001,0.25,0.25,2.25,1.05,1.0,4.0,2.5,0.6,0.48,0.0,1.0,1.0,2.0275,1.0309375,1.0,4.0,1.5,0.5,0.5,0.0,1.0,0.5,14.87,13.87,1.0,39.0,10.5,0.9591666666666666,0.0716625,0.5,1.0,1.0,0.5,0.15,0.0,0.4047619047619047,0.3809523809523809,0.2142857142857142,0.0238095238095238,0.4761904761904761,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1.5,1.0,1,0.0,homorhythmic,high
24,4.0,1.0,1,13.0,3.75,5.0,5.0,2.0,0.2884615384615384,0.0,0.0,70.22727272727273,12.756198347107436,47.0,88.0,75.0,0.2115384615384615,0.059171597633136,0.0833333333333333,0.25,0.25,0.2,0.0699999999999999,0.0799999999999998,0.25,0.25,2.6,0.48,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,29.989999999999995,5.875,22.0,41.0,30.0,0.7516666666666667,0.3215916666666665,0.0,1.0,1.0,0.6,0.0,0.0,0.2448979591836734,0.4693877551020408,0.1428571428571428,0.0,0.5102040816326531,1,0,0,0,1,0,1,1,0,0,1,1,0,0,3.0,0.9454545454545454,1,0.0,homorhythmic,high
25,4.0,1.0,1,7.0,5.5,4.0,4.0,1.75,0.7857142857142857,0.0,0.0,60.32142857142857,10.39285714285714,43.0,79.0,61.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,1.75,0.46875,1.0,3.0,2.0,0.6875,0.4296875,0.0,1.0,1.0,1.75,0.46875,1.0,3.0,2.0,0.6875,0.4296875,0.0,1.0,1.0,14.6875,10.03125,1.0,37.0,13.0,0.9375,0.1171875,0.0,1.0,1.0,0.0625,0.0,0.4375,0.76,0.0,0.04,0.04,0.16,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2.0,1.0,1,0.4375,homorhythmic,high
26,4.0,1.0,1,0.5,0.5,0.25,0.5,0.25,1.0,0.75,0.75,49.0,6.0,43.0,55.0,49.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.0,2.0,0.0,0.25,0.375,0.0,1.0,0.0,3.25,4.875,0.0,13.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,1.0,1,1.0,silence,high
27,4.0,1.0,1,6.0,2.5,2.75,2.75,1.75,0.4166666666666667,0.0,0.0,67.95454545454545,9.41046831955923,55.0,82.0,73.5,0.34375,0.1822916666666666,0.125,0.5,0.5,0.3636363636363636,0.1735537190082644,0.12,0.5,0.5,2.1818181818181817,0.2975206611570247,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.06,0.1128,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,20.06,3.2050000000000005,15.0,28.0,19.5,0.72,0.3864000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.4090909090909091,0.3181818181818182,0.0,0.0454545454545454,0.3181818181818182,1,1,1,1,0,0,1,0,1,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
28,4.0,1.0,1,4.25,1.5,2.0,2.0,1.25,0.3529411764705882,0.0,0.0,66.29411764705883,7.570934256055362,55.0,76.0,73.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.125,0.21875,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.125,0.21875,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,16.125,3.0625,10.0,22.0,17.0,0.8333333333333333,0.25,0.0,1.0,1.0,0.25,0.0,0.0,0.2857142857142857,0.0714285714285714,0.2857142857142857,0.0,0.4285714285714285,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
29,4.0,1.0,1,4.0,1.75,2.0,2.0,1.0,0.4375,0.0,0.0,67.75,10.25,54.0,84.0,67.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,21.5,2.375,16.0,25.0,22.0,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.2857142857142857,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
30,4.0,1.0,1,4.0,2.5,2.0,2.0,1.75,0.625,0.0,0.0,65.5625,9.3125,53.0,80.0,66.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,19.625,2.625,14.0,26.0,19.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.6428571428571429,0.0,0.2857142857142857,0.0714285714285714,0.0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
31,4.0,1.0,1,4.0,2.0,2.0,2.0,1.25,0.5,0.0,0.0,63.4375,8.5625,50.0,74.0,65.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,18.125,3.15625,13.0,24.0,18.0,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.25,0.1428571428571428,0.2142857142857142,0.2857142857142857,0.1428571428571428,0.3571428571428571,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.25,homorhythmic,high
32,4.0,1.0,1,4.0,1.5,2.0,2.0,1.25,0.375,0.0,0.0,62.125,9.625,49.0,79.0,63.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,20.25,5.0625,13.0,31.0,18.5,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.25,0.0714285714285714,0.2142857142857142,0.2857142857142857,0.2142857142857142,0.3571428571428571,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2.0,1.0,1,0.25,homorhythmic,high
33,4.0,1.0,1,4.0,2.5,2.0,2.0,1.5,0.625,0.0,0.0,68.5,15.25,50.0,89.0,67.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,31.5,3.625,27.0,40.0,29.5,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.0,0.3571428571428571,0.5714285714285714,0.0,0.0,0.0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
34,4.0,1.0,1,4.25,1.5,2.0,2.0,1.25,0.3529411764705882,0.0,0.0,67.6470588235294,13.550173010380623,50.0,83.0,80.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.125,0.21875,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.125,0.21875,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,28.125,3.0625,22.0,34.0,29.0,0.8333333333333333,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0714285714285714,0.2857142857142857,0.0,0.4285714285714285,1,1,1,1,1,0,1,1,1,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
35,4.0,1.0,1,4.0,1.75,2.0,2.0,1.0,0.4375,0.0,0.0,67.4375,14.9375,49.0,88.0,68.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,30.875,1.625,28.0,34.0,30.5,0.875,0.21875,0.0,1.0,1.0,0.0,0.0,0.0,0.1428571428571428,0.5,0.3571428571428571,0.0,0.0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
36,4.0,1.0,1,4.0,2.75,2.0,2.0,2.0,0.6875,0.0,0.0,66.5,15.25,48.0,87.0,67.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,31.5,2.75,26.0,38.0,31.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.6428571428571429,0.0,0.2857142857142857,0.0,0.0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
37,4.0,1.0,1,4.0,2.0,2.0,2.0,1.25,0.5,0.0,0.0,64.4375,14.5625,45.0,81.0,66.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,30.125,3.15625,25.0,36.0,30.0,0.75,0.375,0.0,1.0,1.0,0.0,0.0,0.0,0.1428571428571428,0.2142857142857142,0.2857142857142857,0.0,0.3571428571428571,1,0,0,0,1,0,1,1,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
38,4.0,1.0,1,4.0,2.0,2.0,2.0,1.25,0.5,0.0,0.0,65.75,13.0,44.0,86.0,67.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,27.0,5.75,18.0,35.0,28.0,0.625,0.46875,0.0,1.0,1.0,0.0,0.0,0.0,0.0714285714285714,0.4285714285714285,0.0714285714285714,0.0,0.3571428571428571,0,0,1,0,1,0,1,1,1,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
39,4.0,1.0,1,10.25,3.5,3.5,3.5,2.0,0.3414634146341463,0.0,0.0,66.71739130434783,6.240075614366732,57.0,84.0,64.0,0.2804878048780488,0.0535395597858417,0.25,0.5,0.25,0.2857142857142857,0.0612244897959183,0.25,0.5,0.25,2.9285714285714284,0.1326530612244899,2.0,3.0,3.0,0.7142857142857143,0.4081632653061224,0.0,1.0,1.0,2.875,0.21875,2.0,3.0,3.0,0.75,0.375,0.0,1.0,1.0,16.5625,6.3125,7.0,28.0,16.0,0.7916666666666666,0.234375,0.3333333333333333,1.0,1.0,0.8571428571428571,0.2857142857142857,0.1428571428571428,0.4358974358974359,0.5641025641025641,0.282051282051282,0.1025641025641025,0.6153846153846154,1,0,0,0,1,0,1,0,0,0,1,1,0,0,3.0,1.0,1,0.1428571428571428,homorhythmic,high
40,4.0,1.0,1,6.5,2.5,2.0,2.0,1.25,0.3846153846153846,0.0,0.0,65.42307692307692,5.455621301775148,50.0,78.0,64.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3.25,1.625,2.0,7.0,2.0,0.25,0.375,0.0,1.0,0.0,3.25,1.625,2.0,7.0,2.0,0.25,0.375,0.0,1.0,0.0,10.875,7.09375,3.0,29.0,7.5,0.6690476190476191,0.3470238095238095,0.0,1.0,0.8666666666666667,0.625,0.375,0.375,0.2916666666666667,0.5,0.2916666666666667,0.3333333333333333,0.5833333333333334,0,1,0,1,0,0,1,0,0,0,1,1,1,1,2.0,1.0,1,0.375,homorhythmic,high
41,4.0,1.0,1,11.75,3.0,3.5,3.5,2.0,0.2553191489361702,0.0,0.0,65.53448275862068,6.0701545778834705,55.0,79.0,62.0,0.3085106382978723,0.0896333182435491,0.25,0.5,0.25,0.2857142857142857,0.0612244897959183,0.25,0.5,0.25,3.357142857142857,0.6122448979591838,3.0,6.0,3.0,0.6428571428571429,0.4591836734693877,0.0,1.0,1.0,3.625,0.9375,3.0,6.0,3.0,0.625,0.46875,0.0,1.0,1.0,16.3125,5.0625,9.0,25.0,16.0,0.8958333333333333,0.1562500000000001,0.3333333333333333,1.0,1.0,1.0,0.4285714285714285,0.2857142857142857,0.238095238095238,0.7142857142857143,0.3333333333333333,0.2619047619047619,0.6904761904761905,1,1,0,1,1,0,1,0,0,0,1,1,1,0,3.0,0.9261083743842364,1,0.2857142857142857,homorhythmic,high
