measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
0,1.0,1.0,0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,62.25,0.375,62.0,63.0,62.0,0.5,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
1,3.0,1.0,0,5.666666666666667,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.4705882352941176,0.0,0.0,62.04,4.192,46.0,69.0,65.0,0.3676470588235294,0.1245674740484429,0.25,0.5,0.25,0.375,0.125,0.25,0.5,0.375,2.125,0.21875,2.0,3.0,2.0,0.625,0.46875,0.0,1.0,1.0,2.0833333333333335,0.1527777777777779,2.0,3.0,2.0,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,9.0,3.8333333333333335,3.0,20.0,8.0,0.8611111111111112,0.2314814814814814,0.0,1.0,1.0,0.375,0.375,0.0,0.3333333333333333,0.5333333333333333,0.4,0.0666666666666666,0.3333333333333333,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
2,3.0,1.0,0,5.666666666666667,3.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5294117647058824,0.0,0.0,64.36,3.2256,58.0,70.0,65.0,0.3676470588235294,0.1245674740484429,0.25,0.5,0.25,0.375,0.125,0.25,0.5,0.375,2.125,0.21875,2.0,3.0,2.0,0.625,0.46875,0.0,1.0,1.0,2.0833333333333335,0.1527777777777779,2.0,3.0,2.0,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,7.5,2.0,3.0,10.0,8.0,0.8611111111111112,0.2314814814814814,0.0,1.0,1.0,0.625,0.25,0.0,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.0,0.2666666666666666,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
3,3.0,1.0,0,6.0,3.3333333333333335,3.0,3.0,2.3333333333333335,0.5555555555555556,0.0,0.0,65.375,6.208333333333333,55.0,76.0,65.5,0.3333333333333333,0.1111111111111111,0.25,0.5,0.25,0.3333333333333333,0.1111111111111111,0.25,0.5,0.25,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,13.416666666666666,4.25,9.0,22.0,12.0,0.9166666666666666,0.1527777777777778,0.0,1.0,1.0,0.4444444444444444,0.0,0.0,0.5,0.0625,0.125,0.0,0.375,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
4,3.0,1.0,0,4.0,2.6666666666666665,2.0,2.3333333333333335,2.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,68.08,7.731200000000001,53.0,77.0,70.0,0.5208333333333334,0.2395833333333333,0.25,1.0,0.5,0.5,0.3333333333333333,0.25,1.0,0.25,2.0,1.0,1.0,4.0,1.5,0.6666666666666666,0.888888888888889,0.0,2.0,0.0,2.0833333333333335,1.25,0.0,4.0,2.5,1.0,1.0,0.0,2.0,1.0,12.666666666666666,11.666666666666666,0.0,25.0,13.5,0.6944444444444443,0.3564814814814815,0.0,1.0,1.0,0.1666666666666666,0.0,0.1666666666666666,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,1,1,0,1,0,0,1,1,0,0,1,0,1,1,2.5,0.96,1,0.1666666666666666,homorhythmic,high
5,3.0,1.0,0,7.333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.3636363636363636,0.0,0.0,63.96774193548387,8.736732570239335,53.0,79.0,63.0,0.3522727272727273,0.1208677685950413,0.25,0.5,0.25,0.375,0.125,0.25,0.5,0.375,2.75,0.625,1.0,4.0,3.0,1.5,0.625,0.0,2.0,2.0,2.5833333333333335,0.722222222222222,1.0,4.0,3.0,1.3333333333333333,0.6666666666666666,0.0,2.0,1.5,18.25,5.75,1.0,27.0,20.0,0.6527777777777778,0.349537037037037,0.0,1.0,0.8333333333333333,0.5,0.125,0.125,0.1904761904761904,0.238095238095238,0.1428571428571428,0.0952380952380952,0.5714285714285714,1,1,0,1,1,0,1,1,0,0,0,1,0,0,3.0,1.0,1,0.125,homorhythmic,high
6,3.0,1.0,0,8.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.3333333333333333,0.0,0.0,62.65714285714286,6.925714285714285,53.0,75.0,63.0,0.3645833333333333,0.1241319444444444,0.25,0.5,0.25,0.375,0.125,0.25,0.5,0.375,3.0,0.25,2.0,4.0,3.0,1.375,0.46875,1.0,2.0,1.0,2.9166666666666665,0.3055555555555556,2.0,4.0,3.0,1.5,0.5,1.0,2.0,1.5,19.0,2.6666666666666665,15.0,23.0,17.5,0.4444444444444444,0.2962962962962963,0.0,1.0,0.3333333333333333,0.5,0.125,0.125,0.238095238095238,0.3333333333333333,0.1428571428571428,0.0476190476190476,0.6190476190476191,1,1,0,1,1,0,1,1,0,0,0,1,0,0,3.0,1.0,1,0.125,homorhythmic,high
7,3.0,1.0,0,11.333333333333334,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.6666666666666665,0.3235294117647059,0.0,0.0,64.32432432432432,7.631848064280497,53.0,79.0,65.0,0.2720588235294117,0.0402249134948096,0.25,0.5,0.25,0.2727272727272727,0.0413223140495867,0.25,0.5,0.25,3.090909090909091,0.3305785123966941,2.0,4.0,3.0,1.818181818181818,0.2975206611570248,1.0,2.0,2.0,3.0833333333333335,0.3055555555555556,2.0,4.0,3.0,1.8333333333333333,0.2777777777777779,1.0,2.0,2.0,21.666666666666668,3.2777777777777772,11.0,27.0,22.0,0.4722222222222221,0.2175925925925925,0.0,1.0,0.3333333333333333,0.2727272727272727,0.0909090909090909,0.3636363636363636,0.3333333333333333,0.1,0.0666666666666666,0.3,0.6,1,1,0,1,1,0,1,1,0,0,0,1,0,0,3.0,1.0,1,0.3636363636363636,homorhythmic,high
8,2.0,1.0,1,3.0,2.5,1.0,1.5,2.0,0.8333333333333334,0.25,0.25,64.0,4.888888888888889,58.0,72.0,63.0,0.75,0.25,0.5,1.0,0.75,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.25,1.125,0.0,3.0,3.0,0.75,0.375,0.0,1.0,1.0,10.75,5.375,0.0,15.0,14.0,0.8333333333333333,0.1666666666666666,0.6666666666666666,1.0,0.8333333333333333,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,1,0,1,1,0,1,1,0,0,0,0,1,1,3.0,1.0,1,0.5,homorhythmic,high
9,1.0,1.0,0,12.0,6.0,4.0,4.0,6.0,0.5,0.0,0.0,69.83333333333333,2.5,66.0,74.0,69.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,9.0,8.0,0.8333333333333333,0.1666666666666666,0.6666666666666666,1.0,0.8333333333333333,1.0,0.5,0.0,1.0,0.7777777777777778,0.6666666666666666,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,3.0,1.0,0,0.0,homorhythmic,high
