measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
13,4.0,1.0,1,17.25,4.0,4.75,4.75,2.0,0.2318840579710145,0.0,0.0,62.161702127659574,8.58466274332277,50.0,77.0,59.0,0.2128623188405797,0.0806553245116572,0.0625,0.5,0.25,0.2105263157894736,0.0803324099722991,0.06,0.5,0.25,3.631578947368421,0.4653739612188365,3.0,4.0,4.0,1.5789473684210529,0.7922437673130194,1.0,3.0,1.0,3.67,0.4422,3.0,4.0,4.0,1.6875,0.859375,1.0,3.0,1.0,22.7325,2.4506249999999996,18.0,28.0,22.0,0.6875,0.0963541666666667,0.3333333333333333,1.0,0.6666666666666666,0.4736842105263157,0.5263157894736842,0.1052631578947368,0.4923076923076923,0.2,0.3692307692307692,0.0307692307692307,0.5384615384615384,1,0,0,0,1,0,1,1,0,0,1,1,0,0,4.0,0.98953104832927,1,0.1052631578947368,homorhythmic,high
14,4.0,1.0,1,6.5,2.5,3.0,3.0,1.75,0.3846153846153846,0.0,0.0,60.166666666666664,5.180555555555555,45.0,69.0,60.0,0.3461538461538461,0.165680473372781,0.125,0.5,0.5,0.3333333333333333,0.1666666666666666,0.1200000000000001,0.5,0.375,2.1666666666666665,0.4444444444444443,1.0,4.0,2.0,1.0,0.3333333333333333,0.0,2.0,1.0,2.25,0.625,1.0,4.0,2.0,1.0,0.5,0.0,2.0,1.0,11.5,6.75,1.0,25.0,9.0,0.905,0.1719499999999999,0.0,1.0,1.0,0.5833333333333334,0.0833333333333333,0.1666666666666666,0.4782608695652174,0.0869565217391304,0.3478260869565217,0.1304347826086956,0.391304347826087,1,1,0,1,1,0,1,1,0,0,0,1,1,1,2.0,0.9629629629629629,1,0.1666666666666666,homorhythmic,high
15,4.0,1.0,1,10.0,4.0,3.0,3.0,2.0,0.4,0.0,0.0,59.40384615384615,7.118343195266273,43.0,71.0,62.0,0.325,0.1399999999999999,0.125,0.5,0.25,0.3333333333333333,0.1388888888888888,0.1200000000000001,0.5,0.25,3.3333333333333335,0.5555555555555556,2.0,4.0,3.0,1.25,0.5,0.0,2.0,1.0,3.25,0.5625,2.0,4.0,3.0,1.095,0.3981999999999999,0.0,2.0,1.0,19.065,4.354525,4.0,25.0,20.0,0.8075,0.1954166666666666,0.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,0.5,0.4166666666666667,0.4473684210526316,0.2368421052631578,0.4473684210526316,0.1842105263157894,0.3947368421052631,1,1,0,1,1,0,1,1,0,0,0,1,0,1,3.0,1.0,1,0.4166666666666667,homorhythmic,high
16,4.0,1.0,1,12.75,5.0,3.5,3.5,2.25,0.392156862745098,0.0,0.0,62.758620689655174,9.334126040428062,43.0,79.0,67.0,0.284313725490196,0.1184159938485198,0.125,0.5,0.25,0.2857142857142857,0.1224489795918367,0.12,0.5,0.25,3.642857142857143,0.4591836734693877,3.0,4.0,4.0,1.9285714285714288,0.5306122448979592,1.0,3.0,2.0,3.625,0.46875,3.0,4.0,4.0,1.875,0.4375,1.0,3.0,2.0,27.995,3.8762499999999993,20.0,37.0,28.0,0.7904166666666667,0.1567645833333333,0.3333333333333333,1.0,0.8333333333333334,0.7142857142857143,0.6428571428571429,0.2142857142857142,0.5106382978723404,0.1702127659574468,0.4893617021276595,0.0851063829787234,0.4468085106382978,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.2142857142857142,homorhythmic,high
17,4.0,1.0,1,14.5,5.25,3.75,3.75,2.25,0.3620689655172414,0.0,0.0,65.80327868852459,9.806503628056973,45.0,81.0,69.0,0.2629310344827586,0.0899227110582639,0.125,0.5,0.25,0.2666666666666666,0.0933333333333333,0.12,0.5,0.25,3.8666666666666663,0.2311111111111111,3.0,4.0,4.0,2.1333333333333333,0.4622222222222222,1.0,3.0,2.0,3.8125,0.3046875,3.0,4.0,4.0,2.0,0.5,1.0,3.0,2.0,27.75,2.625,20.0,32.0,28.0,0.9066666666666666,0.1166666666666666,0.5,1.0,1.0,0.8,0.4,0.4666666666666667,0.4,0.2,0.3454545454545454,0.2363636363636363,0.4545454545454545,1,0,0,0,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.4666666666666667,homorhythmic,high
18,4.0,1.0,1,18.0,4.5,5.0,5.0,2.0,0.25,0.0,0.0,68.33333333333333,9.082621082621085,52.0,82.0,73.0,0.203125,0.0850694444444444,0.0625,0.5,0.25,0.2,0.0849999999999999,0.06,0.5,0.25,3.6,0.48,3.0,4.0,4.0,1.55,0.605,1.0,3.0,1.0,3.655,0.4519500000000002,3.0,4.0,4.0,1.625,0.625,1.0,3.0,1.5,23.94,3.0575,20.0,29.0,23.0,0.8241666666666666,0.1693166666666667,0.3333333333333333,1.0,0.8333333333333334,0.8,0.25,0.15,0.4264705882352941,0.3529411764705882,0.2205882352941176,0.0441176470588235,0.4852941176470588,1,0,0,0,1,0,1,1,0,0,1,1,0,0,4.0,0.984952120383037,1,0.15,homorhythmic,high
19,4.0,1.0,1,16.5,5.0,5.0,5.0,2.25,0.303030303030303,0.0,0.0,62.76303317535545,7.696053547763975,50.0,81.0,62.0,0.199810606060606,0.1032196969696969,0.0625,0.5,0.21875,0.2,0.1,0.0599999999999998,0.5,0.2199999999999999,3.3,0.4199999999999999,3.0,4.0,3.0,1.2,0.3199999999999999,1.0,2.0,1.0,3.2950000000000004,0.4159500000000002,3.0,4.0,3.0,1.375,0.46875,1.0,2.0,1.0,22.0425,2.689925000000001,18.0,30.0,22.0,0.8841666666666668,0.156375,0.5,1.0,1.0,0.75,0.3,0.25,0.365079365079365,0.365079365079365,0.2857142857142857,0.1587301587301587,0.5555555555555556,1,1,0,1,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.25,homorhythmic,high
20,4.0,1.0,1,12.25,4.75,4.0,4.0,1.75,0.3877551020408163,0.0,0.0,59.6530612244898,7.2144939608496435,40.0,72.0,60.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.0625,0.234375,2.0,4.0,3.0,1.625,0.5625,0.0,2.0,2.0,3.0625,0.234375,2.0,4.0,3.0,1.625,0.5625,0.0,2.0,2.0,21.1875,5.7109375,13.0,33.0,20.0,0.8020833333333333,0.2265625000000001,0.3333333333333333,1.0,1.0,0.5,0.3125,0.25,0.5,0.0869565217391304,0.2826086956521739,0.1521739130434782,0.4347826086956521,1,0,0,0,1,1,1,1,0,0,1,1,0,0,3.0,1.0,1,0.25,homorhythmic,high
21,4.0,1.0,1,16.5,3.75,4.25,4.25,2.0,0.2272727272727272,0.0,0.0,62.53225806451613,5.891259105098856,50.0,76.0,62.0,0.2348484848484848,0.0266299357208448,0.125,0.25,0.25,0.2352941176470588,0.0259515570934256,0.1200000000000001,0.25,0.25,3.8823529411764706,0.2076124567474048,3.0,4.0,4.0,1.411764705882353,0.6228373702422145,0.0,2.0,2.0,3.875,0.21875,3.0,4.0,4.0,1.375,0.625,0.0,2.0,1.5,18.435,2.685,15.0,25.0,18.0,0.73375,0.1656104166666666,0.3333333333333333,1.0,0.6666666666666666,0.8235294117647058,0.7058823529411765,0.4705882352941176,0.4032258064516129,0.3387096774193548,0.6451612903225806,0.2741935483870967,0.5,1,0,0,0,1,0,1,1,0,0,1,1,0,0,4.0,1.0,1,0.4705882352941176,homorhythmic,high
22,4.0,1.0,1,17.0,4.25,4.25,4.25,2.0,0.25,0.0,0.0,66.3984375,6.095458984375,55.0,81.0,67.0,0.2352941176470588,0.0259515570934256,0.125,0.25,0.25,0.2352941176470588,0.0259515570934256,0.12,0.25,0.25,4.0,0.0,4.0,4.0,4.0,1.6470588235294117,0.6505190311418685,0.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,1.6875,0.640625,0.0,3.0,2.0,19.625,2.421875,13.0,25.0,20.0,0.8545833333333333,0.1185145833333333,0.6666666666666666,1.0,0.8333333333333334,0.9411764705882352,0.8235294117647058,0.7058823529411765,0.484375,0.25,0.578125,0.34375,0.53125,1,0,0,0,1,1,1,1,0,0,1,1,0,0,4.0,1.0,1,0.7058823529411765,homorhythmic,high
23,4.0,1.0,1,13.75,3.75,3.5,3.5,1.75,0.2727272727272727,0.0,0.0,61.87096774193548,6.561914672216442,43.0,74.0,62.0,0.2818181818181818,0.0555371900826446,0.25,0.5,0.25,0.2857142857142857,0.0612244897959183,0.25,0.5,0.25,3.928571428571429,0.1326530612244899,3.0,4.0,4.0,1.4285714285714286,0.6326530612244898,0.0,3.0,1.0,3.875,0.21875,3.0,4.0,4.0,1.5625,0.6875,0.0,3.0,1.5,21.375,3.640625,15.0,29.0,20.0,0.7916666666666665,0.140625,0.6666666666666666,1.0,0.6666666666666666,0.9285714285714286,0.7142857142857143,0.5,0.4313725490196078,0.3725490196078431,0.4705882352941176,0.2156862745098039,0.5490196078431373,1,0,0,0,1,1,1,1,0,0,1,1,0,0,4.0,1.0,1,0.5,homorhythmic,high
24,4.0,1.0,1,9.75,3.5,2.5,2.5,2.0,0.358974358974359,0.0,0.0,60.24193548387097,9.49219562955255,48.0,74.0,64.0,0.3974358974358974,0.1420118343195266,0.125,0.5,0.5,0.4,0.1399999999999999,0.1200000000000001,0.5,0.5,3.9,0.18,3.0,4.0,4.0,1.8,0.64,1.0,3.0,2.0,3.875,0.21875,3.0,4.0,4.0,1.655,0.6549999999999999,1.0,3.0,1.5,24.75,1.3125,22.0,27.0,25.0,0.7866666666666666,0.1688666666666667,0.5,1.0,0.6666666666666666,0.8,0.6,0.3,0.4285714285714285,0.2571428571428571,0.4285714285714285,0.0857142857142857,0.5142857142857142,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.3,homorhythmic,high
25,4.0,1.0,1,16.0,4.0,4.0,4.0,1.75,0.25,0.0,0.0,62.3125,11.375,48.0,81.0,62.5,0.25,0.03125,0.125,0.5,0.25,0.25,0.03125,0.12,0.5,0.25,4.0,0.0,4.0,4.0,4.0,2.0625,0.46875,1.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,1.97,0.4850000000000002,1.0,3.0,2.0,29.5625,1.2421875,27.0,34.0,30.0,0.7495833333333333,0.1611708333333333,0.5,1.0,0.6666666666666666,0.75,0.625,0.0625,0.4333333333333333,0.2333333333333333,0.45,0.05,0.5,1,1,0,1,1,1,1,1,0,0,1,1,0,0,4.0,1.0,1,0.0625,homorhythmic,high
26,4.0,1.0,1,16.75,4.5,4.25,4.25,2.0,0.2686567164179104,0.0,0.0,60.6031746031746,7.914336104812298,48.0,77.0,60.0,0.2350746268656716,0.0262864780574738,0.125,0.25,0.25,0.2352941176470588,0.0259515570934256,0.1200000000000001,0.25,0.25,3.941176470588235,0.1107266435986157,3.0,4.0,4.0,1.9411764705882353,0.4429065743944637,1.0,3.0,2.0,3.9375,0.1171875,3.0,4.0,4.0,1.97,0.4219500000000002,1.0,3.0,2.0,25.065,1.967499999999999,15.0,30.0,25.0,0.6820833333333334,0.2384375,0.3333333333333333,1.0,0.5,0.8823529411764706,0.4705882352941176,0.2941176470588235,0.3333333333333333,0.3492063492063492,0.3333333333333333,0.1111111111111111,0.6190476190476191,1,1,0,1,1,0,1,1,0,0,1,1,0,0,4.0,1.0,1,0.2941176470588235,homorhythmic,high
27,4.0,1.0,1,11.0,2.75,2.75,2.75,1.75,0.25,0.0,0.0,67.21830985915493,11.915096211069232,48.0,84.0,69.0,0.4034090909090909,0.3628615702479338,0.125,2.0,0.25,0.3636363636363636,0.2975206611570247,0.12,2.0,0.25,4.0,0.1818181818181818,3.0,5.0,4.0,2.5454545454545454,0.4958677685950414,2.0,3.0,3.0,4.4375,0.5625,3.0,5.0,4.5,2.3125,0.4296875,2.0,3.0,2.0,34.465,2.7268749999999997,25.0,37.0,36.5,0.9170833333333334,0.1297645833333333,0.3333333333333333,1.0,1.0,0.8181818181818182,0.3636363636363636,1.0,0.2,0.15,0.225,0.55,0.7,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4.5,0.9014084507042254,1,1.0,homorhythmic,high
