measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,4.0,1.0,1,1.0,1.0,1.0,1.25,1.0,1.0,0.375,0.375,59.2,2.9599999999999995,54.0,62.0,61.0,0.625,0.1875,0.5,1.0,0.5,0.625,0.1875,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0.46875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0.46875,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0,0.0,monophonic,high
2,4.0,1.0,1,1.75,1.0,1.75,1.75,1.0,0.5714285714285714,0.0,0.0,61.125,1.4375,59.0,66.0,61.0,0.5714285714285714,0.2448979591836734,0.25,1.0,0.5,0.5714285714285714,0.2448979591836734,0.25,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.1666666666666666,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
3,4.0,1.0,1,1.5,1.0,1.5,1.5,1.0,0.6666666666666666,0.0,0.0,56.3125,0.9296875,54.0,59.0,56.0,0.6666666666666666,0.4444444444444444,0.25,2.0,0.5,0.6666666666666666,0.4444444444444444,0.25,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
4,4.0,1.0,1,2.75,2.25,2.0,2.0,1.75,0.8181818181818182,0.0,0.0,61.72727272727273,4.066115702479339,54.0,69.0,61.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.375,0.46875,1.0,2.0,1.0,0.25,0.375,0.0,1.0,0.0,1.375,0.46875,1.0,2.0,1.0,0.25,0.375,0.0,1.0,0.0,3.0,2.5,1.0,8.0,1.0,0.875,0.21875,0.0,1.0,1.0,0.125,0.125,0.0,0.5,0.1,0.2,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1,0.0,monophonic,high
5,4.0,1.0,1,4.0,1.75,2.25,2.25,1.75,0.4375,0.0,0.0,65.21428571428571,3.3265306122448988,58.0,73.0,66.0,0.4375,0.09375,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,1.7777777777777777,0.345679012345679,1.0,2.0,2.0,0.3333333333333333,0.4444444444444444,0.0,1.0,0.0,1.75,0.375,1.0,2.0,2.0,0.375,0.46875,0.0,1.0,0.0,6.375,3.71875,1.0,16.0,5.5,0.6875,0.4296875,0.0,1.0,1.0,0.2222222222222222,0.1111111111111111,0.0,0.2142857142857142,0.3571428571428571,0.2142857142857142,0.0,0.4285714285714285,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,low
6,4.0,1.0,1,4.5,1.75,2.5,2.5,1.75,0.3888888888888889,0.0,0.0,61.75,1.8928571428571428,56.0,66.0,62.0,0.3888888888888889,0.1234567901234568,0.25,0.5,0.5,0.4,0.12,0.25,0.5,0.5,1.8,0.3199999999999999,1.0,2.0,2.0,0.1,0.18,0.0,1.0,0.0,1.75,0.375,1.0,2.0,2.0,0.125,0.21875,0.0,1.0,0.0,3.9375,1.8203125,1.0,8.0,4.0,0.8125,0.3046875,0.0,1.0,1.0,0.3,0.3,0.0,0.5,0.5625,0.25,0.0,0.4375,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,low
7,4.0,1.0,1,4.0,2.0,2.0,2.0,1.75,0.5,0.0,0.0,63.875,2.90625,56.0,73.0,64.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,0.5,0.5,0.0,1.0,0.5,2.0,0.0,2.0,2.0,2.0,0.5,0.5,0.0,1.0,0.5,6.75,3.0,3.0,10.0,7.0,0.75,0.375,0.0,1.0,1.0,0.75,0.0,0.0,0.2857142857142857,0.2142857142857142,0.3571428571428571,0.0714285714285714,0.5,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
8,4.0,1.0,1,4.25,2.5,2.0,2.0,1.75,0.5882352941176471,0.0,0.0,61.76470588235294,4.809688581314879,49.0,69.0,61.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.125,0.21875,2.0,3.0,2.0,1.0,0.25,0.0,2.0,1.0,2.125,0.21875,2.0,3.0,2.0,1.0,0.25,0.0,2.0,1.0,10.5,2.25,4.0,17.0,10.5,0.625,0.46875,0.0,1.0,1.0,0.625,0.125,0.0,0.4,0.0666666666666666,0.1333333333333333,0.0,0.4666666666666667,1,1,0,1,1,0,1,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
9,4.0,1.0,1,5.0,3.0,2.25,2.25,1.75,0.6,0.0,0.0,55.5,7.888888888888889,42.0,71.0,52.0,0.45,0.0799999999999999,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,2.2222222222222223,0.5185185185185186,1.0,3.0,2.0,1.0,0.4444444444444444,0.0,2.0,1.0,2.25,0.5625,1.0,3.0,2.0,1.0,0.5,0.0,2.0,1.0,16.375,6.984375,1.0,25.0,20.0,0.875,0.21875,0.0,1.0,1.0,0.3333333333333333,0.0,0.2222222222222222,0.1764705882352941,0.3529411764705882,0.0588235294117647,0.2352941176470588,0.4117647058823529,1,1,0,1,1,0,1,1,0,0,0,1,0,1,2.0,0.9876543209876544,1,0.2222222222222222,homorhythmic,high
10,4.0,1.0,1,6.25,3.75,2.25,2.25,2.0,0.6,0.0,0.0,56.11363636363637,6.6942148760330555,42.0,68.0,57.0,0.44,0.0911999999999999,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,2.7777777777777777,0.345679012345679,2.0,3.0,3.0,1.4444444444444444,0.4938271604938272,1.0,2.0,1.0,2.75,0.375,2.0,3.0,3.0,1.5,0.5,1.0,2.0,1.5,18.6875,3.3125,10.0,25.0,18.5,0.8958333333333333,0.1432291666666667,0.6666666666666666,1.0,1.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.1818181818181818,0.3181818181818182,0.3181818181818182,0.2727272727272727,0.3181818181818182,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.2222222222222222,homorhythmic,high
