measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
0,0.125,1.0,0,16.0,16.0,8.0,8.0,8.0,1.0,0.0,0.0,57.0,6.0,51.0,63.0,57.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,13.0,0.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,2.0,1.0,1,1.0,homorhythmic,low
1,4.0,1.0,1,25.25,2.25,5.5,5.5,1.5,0.0891089108910891,0.0,0.0,61.67148135707086,9.700120586347309,30.0,75.0,63.0,0.1842202970297029,0.1990589157925693,0.0020833333333333,1.0,0.0583333333333333,0.1818181818181818,0.1829752066115702,0.0099999999999997,1.0,0.06,4.590909090909091,1.008264462809917,2.0,9.0,4.0,2.0454545454545454,0.2603305785123966,1.0,3.0,2.0,4.805000000000001,1.4817999999999996,2.0,9.0,6.0,2.2825,0.7175,1.0,3.0,2.5,25.765000000000004,9.015000000000002,13.0,46.0,27.5,0.7665,0.1015725,0.6,1.0,0.7333333333333333,0.9090909090909092,0.2727272727272727,0.2272727272727272,0.1616161616161616,0.4141414141414141,0.1212121212121212,0.1414141414141414,0.8585858585858586,0,1,0,1,1,0,1,1,0,1,1,1,0,1,6.0,0.955444139627282,1,0.2272727272727272,homorhythmic,high
2,4.5,1.0,0,6.222222222222222,3.7777777777777777,3.111111111111111,3.7777777777777777,1.3333333333333333,0.6071428571428571,0.5266666666666667,0.4155555555555555,58.95428571428572,9.1470693877551,35.0,74.0,62.0,0.3125,0.2142857142857142,0.05,0.5,0.5,0.3214285714285714,0.4151020408163265,0.0499999999999998,1.87,0.0500000000000002,2.0,1.4285714285714286,1.0,6.0,1.0,0.4285714285714285,0.6122448979591837,0.0,3.0,0.0,1.9466666666666663,2.26085925925926,0.0,6.0,0.0,0.5844444444444444,0.7454913580246915,0.0,3.0,0.0,9.597777777777775,12.020276543209873,0.0,40.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2142857142857142,0.2142857142857142,0.2857142857142857,0.0,0.3333333333333333,0.125,0.0,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,1.0,1,0.2857142857142857,silence,high
3,4.0,1.0,1,25.25,2.25,5.5,5.5,1.5,0.0891089108910891,0.0,0.0,66.67148135707086,9.700120586347309,35.0,80.0,68.0,0.1842202970297029,0.1990589157925693,0.0020833333333333,1.0,0.0583333333333333,0.1818181818181818,0.1829752066115702,0.0099999999999997,1.0,0.06,4.590909090909091,1.008264462809917,2.0,9.0,4.0,2.0454545454545454,0.2603305785123966,1.0,3.0,2.0,4.805000000000001,1.4817999999999996,2.0,9.0,6.0,2.2825,0.7175,1.0,3.0,2.5,25.765000000000004,9.015000000000002,13.0,46.0,27.5,0.7665,0.1015725,0.6,1.0,0.7333333333333333,0.9090909090909092,0.2727272727272727,0.2272727272727272,0.1616161616161616,0.4141414141414141,0.1212121212121212,0.1414141414141414,0.8585858585858586,0,1,0,1,1,0,1,1,0,1,1,1,0,1,6.0,0.955444139627282,1,0.2272727272727272,homorhythmic,high
4,4.5,1.0,0,6.0,3.7777777777777777,3.111111111111111,3.7777777777777777,1.5555555555555556,0.6296296296296297,0.5266666666666667,0.4155555555555555,62.73939393939394,9.198677685950411,40.0,79.0,65.0,0.3055555555555556,0.2160493827160493,0.05,0.5,0.5,0.3214285714285714,0.4151020408163265,0.0499999999999998,1.87,0.0500000000000002,1.9285714285714288,1.326530612244898,1.0,6.0,1.0,0.5,0.7142857142857143,0.0,3.0,0.0,1.8355555555555556,2.1191308641975315,0.0,6.0,0.0,0.6955555555555555,0.8872197530864196,0.0,3.0,0.0,9.486666666666666,11.87854814814815,0.0,40.0,0.0,0.9629629629629628,0.065843621399177,0.6666666666666666,1.0,1.0,0.2142857142857142,0.1428571428571428,0.2142857142857142,0.0,0.3478260869565217,0.1304347826086956,0.0,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,1.0,1,0.2142857142857142,silence,high
5,4.0,1.0,1,29.75,3.0,5.5,5.5,1.5,0.1008403361344537,0.0,0.0,65.89356984478935,14.11758756629234,40.0,85.0,73.0,0.1658088235294117,0.1739001482946119,0.0020833333333333,1.0,0.0583333333333333,0.1818181818181818,0.1829752066115702,0.0099999999999997,1.0,0.06,5.409090909090909,0.9917355371900828,2.0,11.0,5.0,1.9090909090909092,0.165289256198347,1.0,2.0,2.0,5.117499999999999,1.3943000000000003,2.0,11.0,6.0,1.7825,0.3403875,1.0,2.0,2.0,33.9825,11.017500000000002,13.0,45.0,38.5,0.9727272727272728,0.048,0.7333333333333333,1.0,1.0,0.9090909090909092,0.9090909090909092,1.0,0.1452991452991453,0.376068376068376,0.3418803418803419,0.4017094017094017,0.8632478632478633,1,1,0,1,1,0,1,1,0,0,1,1,1,1,6.0,1.0,1,1.0,homorhythmic,high
6,4.0,1.0,1,10.0,3.5,1.75,1.75,1.75,0.35,0.0,0.0,67.52173913043478,9.227315689981095,54.0,82.0,72.0,0.575,0.3825,0.125,1.0,0.875,0.5714285714285714,0.3783673469387755,0.1299999999999999,1.0,0.87,5.714285714285714,0.4081632653061224,5.0,6.0,6.0,1.7142857142857142,0.4081632653061225,1.0,2.0,2.0,5.75,0.375,5.0,6.0,6.0,1.75,0.375,1.0,2.0,2.0,27.772500000000004,1.761462499999998,22.0,29.0,29.0,0.8956666666666667,0.0521666666666666,0.7333333333333333,1.0,0.8666666666666667,1.0,0.8571428571428571,1.0,0.3823529411764705,0.5588235294117647,0.5588235294117647,0.2941176470588235,0.7647058823529411,1,1,0,1,1,1,1,1,0,0,0,1,0,0,6.0,0.9937888198757764,1,1.0,homorhythmic,high
7,4.0,1.0,1,10.5,2.75,1.75,1.75,1.5,0.2619047619047619,0.0,0.0,68.375,6.010416666666667,57.0,78.0,67.5,0.5714285714285714,0.3826530612244898,0.125,1.0,0.875,0.5714285714285714,0.3783673469387755,0.1299999999999999,1.0,0.87,6.0,0.0,6.0,6.0,6.0,0.7142857142857143,0.6122448979591837,0.0,2.0,1.0,6.0,0.0,6.0,6.0,6.0,0.7175,0.7175,0.0,2.0,0.5,20.9025,0.5749125,19.0,22.0,21.0,0.8833333333333333,0.1166666666666666,0.7333333333333333,1.0,0.9,1.0,0.7142857142857143,1.0,0.1388888888888889,0.9166666666666666,0.4444444444444444,0.7777777777777778,0.8611111111111112,1,1,0,1,1,1,1,1,0,1,0,1,0,0,6.0,1.0,1,1.0,homorhythmic,high
8,4.0,1.0,1,9.0,3.75,1.75,1.75,2.25,0.4166666666666667,0.0,0.0,68.437125748503,5.11334217791961,38.0,78.0,68.0,0.5798611111111112,0.3790509259259259,0.125,1.0,0.875,0.5714285714285714,0.3783673469387755,0.1299999999999999,1.0,0.87,5.142857142857143,0.2448979591836737,5.0,6.0,5.0,0.8571428571428571,0.7346938775510203,0.0,3.0,1.0,5.217499999999999,0.3403874999999996,5.0,6.0,5.0,0.565,0.565,0.0,3.0,0.5,17.932499999999997,1.898749999999998,16.0,40.0,17.0,0.85725,0.14275,0.7,1.0,0.8666666666666667,1.0,0.4285714285714285,1.0,0.2333333333333333,0.7666666666666667,0.3666666666666666,0.4666666666666667,0.7,0,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,0.9856937504278187,1,1.0,homorhythmic,high
9,4.0,1.0,1,8.75,3.5,1.75,1.75,2.5,0.4,0.0,0.0,60.9375,12.9,38.0,77.0,68.0,0.5714285714285714,0.3826530612244898,0.125,1.0,0.875,0.5714285714285714,0.3783673469387755,0.1299999999999999,1.0,0.87,5.0,0.0,5.0,5.0,5.0,2.142857142857143,0.2448979591836734,2.0,3.0,2.0,5.0,0.0,5.0,5.0,5.0,2.2175,0.3403874999999998,2.0,3.0,2.0,37.55500000000001,1.0635750000000035,34.0,40.0,37.0,0.925,0.1124999999999999,0.7,1.0,1.0,1.0,0.7142857142857143,1.0,0.3,0.5,0.4333333333333333,0.2666666666666666,0.7,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
